error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot14:XI,noreset,00000000,10000000,00000000
C:cnot14:XX,reset,00000000,00000000,00000000
C:cnot14:XX,noreset,00000000,00000000,00000000
C:cnot14:XY,reset,00000000,00001100,00001100
C:cnot14:XY,noreset,00000000,00001100,00000000
C:cnot14:XZ,reset,00000000,10001100,10001100
C:cnot14:XZ,noreset,00000000,10001100,00000000
C:cnot14:YI,reset,00000100,10000000,10000000
C:cnot14:YI,noreset,00000100,10000100,00000100
C:cnot14:YX,reset,00000100,00000000,00000000
C:cnot14:YX,noreset,00000100,00000100,00000100
C:cnot14:YY,reset,00000100,00001100,00001100
C:cnot14:YY,noreset,00000100,00001000,00000100
C:cnot14:YZ,reset,00000100,10001100,10001100
C:cnot14:YZ,noreset,00000100,10001000,00000100
C:cnot14:ZI,reset,00000100,00000000,00000000
C:cnot14:ZI,noreset,00000100,00000100,00000100
C:cnot14:ZX,reset,00000100,10000000,10000000
C:cnot14:ZX,noreset,00000100,10000100,00000100
C:cnot14:ZY,reset,00000100,10001100,10001100
C:cnot14:ZY,noreset,00000100,10001000,00000100
C:cnot14:ZZ,reset,00000100,00001100,00001100
C:cnot14:ZZ,noreset,00000100,00001000,00000100
C:cnot15:IX,reset,00000000,01000000,01000000
C:cnot15:IX,noreset,00000000,01000000,00000000
C:cnot15:IY,reset,00000000,01000100,01000100
C:cnot15:IY,noreset,00000000,01000100,00000000
C:cnot15:IZ,reset,00000000,00000100,00000100
C:cnot15:IZ,noreset,00000000,00000100,00000000
C:cnot15:XI,reset,00000000,11000000,11000000
C:cnot15:XI,noreset,00000000,11000000,00000000
C:cnot15:XX,reset,00000000,10000000,10000000
C:cnot15:XX,noreset,00000000,10000000,00000000
C:cnot15:XY,reset,00000000,10000100,10000100
C:cnot15:XY,noreset,00000000,10000100,00000000
C:cnot15:XZ,reset,00000000,11000100,11000100
C:cnot15:XZ,noreset,00000000,11000100,00000000
C:cnot15:YI,reset,00000100,11000000,11000000
C:cnot15:YI,noreset,00000100,11000100,00000100
C:cnot15:YX,reset,00000100,10000000,10000000
C:cnot15:YX,noreset,00000100,10000100,00000100
C:cnot15:YY,reset,00000100,10000100,10000100
C:cnot15:YY,noreset,00000100,10000000,00000100
C:cnot15:YZ,reset,00000100,11000100,11000100
C:cnot15:YZ,noreset,00000100,11000000,00000100
C:cnot15:ZI,reset,00000100,00000000,00000000
C:cnot15:ZI,noreset,00000100,00000100,00000100
C:cnot15:ZX,reset,00000100,01000000,01000000
C:cnot15:ZX,noreset,00000100,01000100,00000100
C:cnot15:ZY,reset,00000100,01000100,01000100
C:cnot15:ZY,noreset,00000100,01000000,00000100
C:cnot15:ZZ,reset,00000100,00000100,00000100
C:cnot15:ZZ,noreset,00000100,00000000,00000100
C:cnot16:IX,reset,00000000,10010000,10010000
C:cnot16:IX,noreset,00000000,10010000,00000000
C:cnot16:IY,reset,00000010,10010110,10010110
